Document;xPath;Element;Name;Cardinality;
ubl:DespatchAdvice;/cac:Shipment/cbc:ID;cbc:ID;Shipment identifier;1..1;
ubl:DespatchAdvice;/cac:Shipment/cbc:Information;cbc:Information;Shipment description;0..n;
ubl:DespatchAdvice;/cac:Shipment/cbc:GrossWeightMeasure;cbc:GrossWeightMeasure;Shipment gross weight;0..1;
ubl:DespatchAdvice;/cac:Shipment/cbc:GrossWeightMeasure@unitCode;unitCode;Shipment quantity unit of measure;1..1;
ubl:DespatchAdvice;/cac:Shipment/cbc:GrossVolumeMeasure;cbc:GrossVolumeMeasure;Shipment gross volume;0..1;
ubl:DespatchAdvice;/cac:Shipment/cbc:GrossVolumeMeasure@unitCode;unitCode;Shipment volume unit of measure;1..1;
ubl:DespatchAdvice;/cac:Shipment/cbc:TotalTransportHandlingUnitQuantity;cbc:TotalTransportHandlingUnitQuantity;Total number of transport handling units;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment;cac:Consignment;Consignment information;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cbc:ID;cbc:ID;Consignment identifier;1..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cbc:Information;cbc:Information;Vehicle description;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cac:CarrierParty;cac:CarrierParty;Carrier party;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cac:CarrierParty/cac:PartyName;cac:PartyName;Party name;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cac:CarrierParty/cac:PartyName/cbc:Name;cbc:Name;Carrier name;1..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cac:CarrierParty/cac:Person;cac:Person;Information about the driver;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cac:CarrierParty/cac:Person/cac:IdentityDocumentReference;cac:IdentityDocumentReference;Person identity document reference;1..n;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cac:CarrierParty/cac:Person/cac:IdentityDocumentReference/cbc:ID;cbc:ID;Driver information;1..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Consignment/cac:CarrierParty/cac:Person/cac:IdentityDocumentReference/cbc:DocumentType;cbc:DocumentType;Driver identification document type;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery;cac:Delivery;Delivery information;0..1;
